Etiqueta	Magnitud_Z	Des_Mag_Z	Fase_Z	Des_Fase_Z	Pro_Mag_Z	Pro_Fase_Z	Presión
31ENE_000mmHg_12500Hz_M1_C100_1	73.02466255	0.63286206	0.30979743	0.369720347	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_2	73.04053549	0.533496242	0.450427835	0.561486022	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_3	73.19307512	0.528562678	0.504879643	0.450528785	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_4	72.96395455	0.625253556	0.409342837	0.502480642	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_5	72.94045423	0.470870156	0.423388826	0.371041835	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_6	72.88671832	0.729147638	0.411425074	0.495103542	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_7	72.73192831	0.691486729	0.428916577	0.330783045	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_8	72.80589224	0.751297445	0.335258031	0.360329374	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_9	72.61994148	0.604080863	0.445088054	0.435813058	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_10	72.57638231	0.726837457	0.343909226	0.710902208	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_11	72.33735752	0.651802205	0.316601016	0.488528625	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_12	72.38814809	0.427452627	0.379892895	0.402608312	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_13	72.31847816	0.699155245	0.373715939	0.512586994	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_14	72.22778737	0.460667618	0.296126076	0.472837034	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_15	72.08662547	0.61825474	0.377765682	0.495041451	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_16	71.93132695	0.779089771	0.274154741	0.568084959	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_17	71.9793149	0.58246353	0.324517501	0.528072951	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_18	71.89901225	0.441859159	0.339141799	0.554695768	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_19	71.76009273	0.695263241	0.338561529	0.538071581	71.3277079	0.45436234	0
31ENE_000mmHg_12500Hz_M1_C100_20	71.89147695	0.588023575	0.418468154	0.563053236	71.3277079	0.45436234	0
