IDCLIENTE;EVOLUCION_LCR;DIAS_MORA;COMPORT_INTERNO;ACTIVIDAD;EST_CIVIL;EDAD;RENTA;SEXO;TIPO_VIVIENDA;Salario_Anual;Monto_inicial;
1;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;28;1500;F;Arrienda; $159.000 ; $15.900 ;
2;Disminuye Cupo;9;Buen Cliente;Independiente;Casado;38;1291;M;Propia; $64.550 ; $12.910 ;
3;Mantiene Cupo;12;Buen Cliente;Independiente;Soltero;38;2621;F;Arrienda; $277.826 ; $55.565 ;
4;Disminuye Cupo;12;Buen Cliente;Independiente;Casado;33;2691;M;Propia; $134.550 ; $26.910 ;
5;Disminuye Cupo;12;Buen Cliente;Independiente;Soltero;35;1548;F;Propia; $164.088 ; $32.818 ;
6;Disminuye Cupo;10;Buen Cliente;Independiente;Soltero;31;4208;F;Propia; $446.048 ; $89.210 ;
7;Disminuye Cupo;8;Buen Cliente;Independiente;Casado;32;6637;M;Propia; $331.850 ; $66.370 ;
8;Disminuye Cupo;6;Buen Cliente;Independiente;Casado;29;2407;M;Propia; $120.350 ; $24.070 ;
9;Aumenta Cupo;18;Buen Cliente;Dependiente;Soltero;30;8032;F;Arrienda; $851.392 ; $85.139 ;
10;Mantiene Cupo;24;Buen Cliente;Dependiente;Soltero;33;2386;F;Arrienda; $252.916 ; $25.292 ;
11;Disminuye Cupo;11;Buen Cliente;Independiente;Casado;32;4389;M;Propia; $219.450 ; $43.890 ;
12;Disminuye Cupo;30;Buen Cliente;Dependiente;Soltero;34;3663;F;Propia; $388.278 ; $38.828 ;
13;Disminuye Cupo;6;Buen Cliente;Dependiente;Soltero;48;2787;F;Arrienda; $295.422 ; $29.542 ;
14;Mantiene Cupo;30;Mal Cliente;Independiente;Soltero;34;1874;F;Propia; $198.644 ; $39.729 ;
15;Disminuye Cupo;18;Buen Cliente;Dependiente;Soltero;36;1604;F;Propia; $170.024 ; $17.002 ;
16;Disminuye Cupo;6;Buen Cliente;Dependiente;Casado;30;1826;M;Propia; $91.300 ; $9.130 ;
17;Disminuye Cupo;11;Buen Cliente;Independiente;Soltero;56;2171;F;Propia; $230.126 ; $46.025 ;
18;Mantiene Cupo;18;Buen Cliente;Dependiente;Soltero;32;1310;F;Propia; $138.860 ; $13.886 ;
19;Mantiene Cupo;36;Mal Cliente;Dependiente;Soltero;35;4318;F;Propia; $457.708 ; $45.771 ;
20;Aumenta Cupo;2;Buen Cliente;Independiente;Casado;54;1446;M;Propia; $72.300 ; $14.460 ;
21;Disminuye Cupo;6;Buen Cliente;Independiente;Casado;32;1478;M;Propia; $73.900 ; $14.780 ;
22;Mantiene Cupo;12;Buen Cliente;Independiente;Casado;41;1689;M;Propia; $84.450 ; $16.890 ;
23;Mantiene Cupo;36;Buen Cliente;Dependiente;Casado;43;1924;M;Propia; $96.200 ; $9.620 ;
24;Mantiene Cupo;12;Buen Cliente;Dependiente;Soltero;30;1090;F;Propia; $115.540 ; $11.554 ;
25;Disminuye Cupo;6;Buen Cliente;Independiente;Casado;35;4369;M;Propia; $218.450 ; $43.690 ;
26;Mantiene Cupo;11;Buen Cliente;Dependiente;Casado;53;2105;M;Propia; $105.250 ; $10.525 ;
27;Disminuye Cupo;12;Buen Cliente;Dependiente;Casado;32;1503;F;Arrienda; $75.150 ; $7.515 ;
28;Mantiene Cupo;9;Buen Cliente;Dependiente;Soltero;28;3610;F;Propia; $382.660 ; $38.266 ;
29;Aumenta Cupo;15;Buen Cliente;Independiente;Casado;49;1613;M;Propia; $80.650 ; $16.130 ;
30;Mantiene Cupo;42;Mal Cliente;Dependiente;Casado;52;3129;M;Propia; $156.450 ; $15.645 ;
31;Mantiene Cupo;30;Buen Cliente;Dependiente;Casado;38;4028;M;Propia; $201.400 ; $20.140 ;
32;Aumenta Cupo;38;Mal Cliente;Independiente;Casado;29;11325;M;Propia; $566.250 ; $113.250 ;
33;Aumenta Cupo;36;Mal Cliente;Independiente;Casado;38;1794;M;Propia; $89.700 ; $17.940 ;
34;Aumenta Cupo;24;Buen Cliente;Dependiente;Soltero;34;1687;F;Arrienda; $178.822 ; $17.882 ;
35;Disminuye Cupo;15;Buen Cliente;Independiente;Soltero;37;2317;F;Propia; $245.602 ; $49.120 ;
36;Disminuye Cupo;6;Buen Cliente;Independiente;Soltero;24;2749;F;Arrienda; $291.394 ; $58.279 ;
37;Aumenta Cupo;12;Buen Cliente;Independiente;Casado;32;1379;M;Propia; $68.950 ; $13.790 ;
38;Aumenta Cupo;12;Buen Cliente;Dependiente;Casado;40;2390;M;Propia; $119.500 ; $11.950 ;
39;Aumenta Cupo;18;Buen Cliente;Dependiente;Casado;37;2429;M;Propia; $121.450 ; $12.145 ;
