Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"YZ Hsieh, SS Lin, FX Xu","Development of a wearable guide device based on convolutional neural network for blind or visually impaired persons",2020,"Multimedia Tools and Applications","Springer","https://link.springer.com/article/10.1007/s11042-020-09464-7","https://scholar.google.com/scholar?cites=2052480505404690490&as_sdt=2005&sciodt=2007&hl=en",1,"2024-09-18 20:22:10","","10.1007/s11042-020-09464-7","","",,,,,24,6.00,8,3,4,"… guide device for blind or visually impaired persons on the basis of video streaming and deep learning. … The white cane is a common travel aid for blind or visually impaired persons, but it …","","https://scholar.google.com/scholar?q=related:OpAPKSXgexwJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
16,"N Kumar, A Jain","A Deep Learning Based Model to Assist Blind People in Their Navigation.",2022,"J. Inf. Technol. Educ. Innov. Pract.","jite.org","https://jite.org/documents/Vol21/JITE-IIPv21p095-114Kumar8367.pdf","https://scholar.google.com/scholar?cites=863544543445264524&as_sdt=2005&sciodt=2007&hl=en",2,"2024-09-18 20:22:10","PDF","","","",,,,,16,8.00,8,2,2,"… In this research, the navigation of the visually disabled … this objective and then a machine learning module was introduced … a low-cost wearable device that could assist visually impaired …","https://jite.org/documents/Vol21/JITE-IIPv21p095-114Kumar8367.pdf","https://scholar.google.com/scholar?q=related:jCjI3y_t-wsJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
163,"V Pradeep, G Medioni, J Weiland","Robot vision for the visually impaired",2010,"… on Computer Vision and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5543579/","https://scholar.google.com/scholar?cites=13180787271641390421&as_sdt=2005&sciodt=2007&hl=en",3,"2024-09-18 20:22:10","","","","",,,,,163,11.64,54,3,14,"… the guide cane and proved that effective navigation can be … In experiment 2, the computer vision system autonomously … Mobility and orientation aid for blind persons using artificial …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f3cdc1d03e4434002dcf8842b8434215f54bb7d9","https://scholar.google.com/scholar?q=related:Vd0sUjCQ67YJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
12,"D Ahmetovic, S Mascetti, C Bernareggi…","Deep learning compensation of rotation errors during navigation assistance for people with visual impairments or blindness",2019,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3349264","https://scholar.google.com/scholar?cites=12556814558362399152&as_sdt=2005&sciodt=2007&hl=en",4,"2024-09-18 20:22:10","","10.1145/3349264","","",,,,,12,2.40,3,4,5,"… blindness onset age did not have an effect in the mall environment, in our user study participants who were visually impaired at … Similarly, being assisted by a guide dog reduced rotation …","https://dragan.ahmetovic.it/pdf/ahmetovic2020deep.pdf","https://scholar.google.com/scholar?q=related:sPGk3U_EQq4J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
70,"TK Chuang, NC Lin, JS Chen, CH Hung…","Deep trail-following robotic guide dog in pedestrian environments for people who are blind and visually impaired-learning from virtual and real worlds",2018,"… on Robotics and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8460994/","https://scholar.google.com/scholar?cites=17073194904710946127&as_sdt=2005&sciodt=2007&hl=en",5,"2024-09-18 20:22:10","","","","",,,,,70,11.67,14,5,6,"… navigation for people who are blind or visually impaired (BVI). We proposed a solution in the form of a robotic guide dog with physical human-robot … The robotic guide dog could travel …","https://nichinglin.github.io/pdf/deep_trail_following.pdf","https://scholar.google.com/scholar?q=related:Tx1O5E4s8OwJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
212,"B Kuriakose, R Shrestha, FE Sandnes","Tools and technologies for blind and visually impaired navigation support: a review",2022,"IETE Technical Review","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02564602.2020.1819893","https://scholar.google.com/scholar?cites=12660715921484759521&as_sdt=2005&sciodt=2007&hl=en",6,"2024-09-18 20:22:10","","10.1080/02564602.2020.1819893","","",,,,,212,106.00,71,3,2,"… people navigation using machine vision technologies. Hojjat [… indoor navigation solutions for blind and visually impaired … to assist the navigation of blind and visually impaired people. …","https://www.tandfonline.com/doi/pdf/10.1080/02564602.2020.1819893","https://scholar.google.com/scholar?q=related:4UE7Hg3ms68J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
20,"JC Ying, CY Li, GW Wu, JX Li…","A deep learning approach to sensory navigation device for blind guidance",2018,"2018 IEEE 20th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8622939/","https://scholar.google.com/scholar?cites=1211538085923927346&as_sdt=2005&sciodt=2007&hl=en",7,"2024-09-18 20:22:10","","","","",,,,,20,3.33,4,5,6,"… The core of the sensory navigation device is a computer program that can lead blind and visually impaired people around obstacles through voice with artificial intelligence, data mining, …","","https://scholar.google.com/scholar?q=related:MjVaW3g_0BAJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
149,"J Guerreiro, D Sato, S Asakawa, H Dong…","Cabot: Designing and evaluating an autonomous navigation robot for blind people",2019,"Proceedings of the 21st …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3308561.3353771","https://scholar.google.com/scholar?cites=18056135061533681615&as_sdt=2005&sciodt=2007&hl=en",8,"2024-09-18 20:22:10","","10.1145/3308561.3353771","","",,,,,149,29.80,30,5,5,"… roBot), an autonomous suitcase-shaped robot to guide people who are blind or visually impaired … We consider prior work on robot navigation, functions of traditional navigation aids, and …","https://www.researchgate.net/profile/Joao-Guerreiro/publication/334807615_CaBot_Designing_and_Evaluating_an_Autonomous_Navigation_Robot_for_Blind_People/links/5d41c224a6fdcc370a71296e/CaBot-Designing-and-Evaluating-an-Autonomous-Navigation-Robot-for-Blind-People.pdf","https://scholar.google.com/scholar?q=related:z-cwRyxHlPoJ:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
81,"H Mori, S Kotani","Robotic travel aid for the blind: HARUNOBU-6",1998,"… on Disability, Virtual Reality, and Assistive …","centaur.reading.ac.uk","https://centaur.reading.ac.uk/27455/1/ECDVRAT1998_Full_Proceedings_2nd_Conf.pdf#page=211","https://scholar.google.com/scholar?cites=2265871862784742682&as_sdt=2005&sciodt=2007&hl=en",9,"2024-09-18 20:22:10","PDF","","","",,,,,81,3.12,41,2,26,"… developing Robotic Travel Aid (RoTA)“HARUNOBU” since 1990 to guide the visually impaired in … We consider that the robot follows the same traffic regulation as the guide dog.(R1) The …","https://centaur.reading.ac.uk/27455/1/ECDVRAT1998_Full_Proceedings_2nd_Conf.pdf#page=211","https://scholar.google.com/scholar?q=related:GlXWP3T-cR8J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
73,"A Budrionis, D Plikynas, P Daniušis…","Smartphone-based computer vision travelling aids for blind and visually impaired individuals: A systematic review",2022,"Assistive …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10400435.2020.1743381","https://scholar.google.com/scholar?cites=14773659322519540794&as_sdt=2005&sciodt=2007&hl=en",10,"2024-09-18 20:22:10","","10.1080/10400435.2020.1743381","","",,,,,73,36.50,18,4,2,"… -based ETA prototypes could assist with better orientation, navigation, and wayfinding in indoor … interfaces and computer vision capabilities in smartphone-based ETAs for the blind, few …","https://www.researchgate.net/profile/Povilas-Daniusis/publication/340147628_Smartphone-based_Computer_Vision_Travelling_Aids_for_blind_and_visually_impaired_individuals_A_Systematic_Review/links/5eaec7d2299bf18b95918160/Smartphone-based-Computer-Vision-Travelling-Aids-for-blind-and-visually-impaired-individuals-A-Systematic-Review.pdf","https://scholar.google.com/scholar?q=related:OlRqL-GUBs0J:scholar.google.com/&scioq=guide%7Cguidance%7Cassist*%7Caid+vision%7Cvisually+impaired%7Cdisabled%7Clow+navigate%7Cnavigation%7Cmobility%7Corientation%7Ctravel+blind%7Cblindness+%22deep+learning%22%7Cmachine%7C%22computer+vision%22%7Crobot%7Cartificial%7C%22image+processing%22&hl=en&as_sdt=2007"
