AffiliationKey;Affiliation;Institution;Country
0001CIOTPC9US;"California Institute of Technology; Pasadena; Calif. 91109; United States";California Institute of Technology;United States
0002SRIASUSC9US;"Stanford Research Institute and Stanford University; Stanford; Calif. 94305; United States";Stanford University;United States
0003US;United States;Harvard;United States
0004BUBUS;"Binghamton Univ; Binghamton; United States";Binghamton University;United States
0005RRGESD1PROO3UK;"Robotics Research Group; Engineering Science Department; 19 Parks Road; Oxford; OX1 3PJ; United Kingdom";University of Oxford;United Kingdom
0006IIOTCUS;"Illinois Inst of Technology; Chicago; United States";Illinois Institute of Technology;United States
0007DOCSOITCD2I;"Department of Computer Science; O'Reilly Institute; Trinity College; Dublin 2; Ireland";Trinity College;Ireland
0008TCDOCSD2I;"Trinity College; Department of Computer Science; Dublin 2; Ireland";Trinity College;Ireland
0009VRLWTWEPI;"Vartry Research Ltd.; Wicklow Town; Wicklow Enterprise Park; Ireland";Vartry Research Ltd.;Ireland
0010SOEAITUMSKK8SLBN2M;"School of Engineering and Information Technology; Universiti Malaysia Sabah; Kota Kinabalu 88999; Sabah; Locked Bag No. 2073; Malaysia";Universiti Malaysia Sabah;Malaysia
0011KK8LBN2M;"Kota Kinabalu 88999; Locked Bag No. 2073; Malaysia";University of Malaysia Sabah;Malaysia
0012LDRDP71VF;"Laboratoire de Robotique de Paris; 78 140 Vélizy; France";Laboratoire de Robotique de Paris;France
0013SOEAITUMSM;"Sch. of Eng. and Inf. Technol.; Universiti Malaysia Sabah; Malaysia";Universiti Malaysia Sabah;Malaysia
0014ISLSOEUOGGN2OC;"Intelligent Systems Lab; School of Engineering; University of Guelph; Guelph; N1G 2W1; ON; Canada";University of Guelph;Canada
0015SSSAPI;"Scuola Superiore Sant' Anna; Pisa; Italy";Scuola Superiore Sant' Anna;Italy
0016DOEETUJ;"Department of Electrical Engineering; Tokai University; Japan";Tokai University;Japan
0017NRCFTDJ;"Natl. Rehab. Center for the Disabled; Japan";"National Rehabilitation Center for the Disabled; Japan";Japan
0018DOIEAMACOJASAI;"Dept. of Industrial Eng. and Mgmt.; Academic College of J and S; Ariel; Israel";Ariel University;Israel
0019DOMETUOMAAM4US;"Dept. of Mechanical Engineering; The University of Michigan; Ann Arbor; MI 48109; United States";The University of Michigan;United States
0020AIARGSOETUMS8KKM;"Artif. Intell. Applic. Res. Group; Sch. of Eng./Information Technology; Universiti Malaysia Sabah; 88999 Kota Kinabalu; Malaysia";Universiti Malaysia Sabah;Malaysia
0021CRLYK2J;"Communications Research Laboratory; Yokosuka; Kanagawa 239-0847; Japan";Communications Research Laboratory;Japan
0022LDRDP92FB6F;"Laboratoire de Robotique de Paris; 92 265 Fontenay-aux-Roses; BP. 61; France";Laboratoire de Robotique de Paris;France
