Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-102-656-132-186,Construction And Verification Of Distributed Medical Database Using Resource Description Framework,2015-05-19,2015,journal article,International journal of computer assisted radiology and surgery,18616429; 18616410,Springer Science and Business Media LLC,Germany,Y. Hayakawa; M. Shinoda; M. Hirose; Y. Chiba; 吉彦 早川,"Sensorineural hearing loss is becoming one the most common reasons of disability. Worldwide 278 million people (around 25% of people above 45 years) suffer from moderate to several hearing disorders. Cochlear implantation (CI) enables to convert sound to an electrical signal that directly stimulates the auditory nerves via the electrode array surgically placed. However, this technique is intrinsically patient-dependent and its range of outcomes is very broad. A major source of outcome variability resides in the electrode array insertion. It has been reported to be one of the most important steps in cochlear implant surgery. In this context, we propose a method for patient-specific virtual electrode insertion further used into a finite element electrical simulation, and consequently improving the planning of the surgical implantation. The anatomical parameters involved in the electrode insertion such as the curvature and the number of turns of the cochlea, make virtual insertion highly challenging. Moreover, the influence of the insertion parameters and the use of different manufactured electrode arrays increase the range of scenarios to be considered for the implantation of a given patient. To this end, the method we propose is fast, easily parameterizable and applicable to a wide range of anatomies and insertion configurations. Our method is novel for targeting automatic virtual electrode insertion. Also, it combines high-resolution imaging techniques and clinical data to be further used into a finite element study and predict implantation outcomes in humans.",10,S1,300,301,RDF; Computer science; Database; Radiology; Ultrasound; Prostate surgery; Medicine; Finite element method; Biomedical engineering; Electrode; Cochlear implant; Context (language use); Cochlea; Sensorineural hearing loss; Patient specific; Audiology; Electrode array; Mesh generation; Surgical planning; Implant; Population; Monopolar stimulation; Computational model; Process (computing); Anatomy; Image registration; Inner ear; Cochlear implant surgery; Materials science; Nuclear medicine; Cone beam ct; Patient dose; Anisotropy; Reduction (complexity); Artificial intelligence; Medical physics; Software; Computer vision; Radiation therapy; Hard tissue; Segmentation; PET-CT; Workflow; Biopsy; CT guided biopsy; Software modules; Open source software; Needle biopsy; Image guidance; Internal medicine; Cardiology; Artery; Anastomosis; Suite; Interventional radiology; History; Archaeology,,,,,https://kitami-it.repo.nii.ac.jp/record/7981/files/Hayakawa_etal_PO-177_S296-297_CARS2015.pdf https://kitami-it.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=7981&item_no=1&page_id=55&block_id=91,http://dx.doi.org/10.1007/s11548-015-1213-2,25985879,10.1007/s11548-015-1213-2,2594051837; 2615461126; 2121539792; 3172853177; 3192964861; 2504444933; 2603399793; 2729948766; 2174408889; 2244999250,,0,028-396-621-844-004; 074-722-268-937-945,13,true,,green
000-122-946-719-709,Recent progress in road and lane detection: a survey,2012-02-07,2012,journal article,Machine Vision and Applications,09328092; 14321769,Springer Science and Business Media LLC,Germany,Aharon Bar Hillel; Ronen Lerner; Dan Levi; Guy Raz,,25,3,727,745,Block (data storage); Artificial intelligence; Bridge (nautical); Scheme (programming language); Data science; Implementation; Modalities; Task (project management); Field (computer science); Computer science; Simulation; Advanced driver assistance systems,,,,,http://www.scienceopen.com/document/vid/45783794-26c4-4340-b42a-91ef4496dd4e https://dx.doi.org/10.1007/s00138-011-0404-2 https://dl.acm.org/doi/10.1007/s00138-011-0404-2 https://link.springer.com/article/10.1007/s00138-011-0404-2 https://www.researchgate.net/profile/Dan_Levi/publication/257334033_Recent_progress_in_road_and_lane_detection_a_survey/links/53f443d70cf256ab87b7a725.pdf https://link.springer.com/content/pdf/10.1007/s00138-011-0404-2 https://doi.org/10.1007/s00138-011-0404-2 https://dblp.uni-trier.de/db/journals/mva/mva25.html#Bar-HillelLLR14 http://dx.doi.org/10.1007/s00138-011-0404-2,http://dx.doi.org/10.1007/s00138-011-0404-2,,10.1007/s00138-011-0404-2,2159132531,,62,003-399-951-983-687; 004-706-176-014-650; 006-749-680-518-498; 007-536-388-960-534; 008-155-008-034-625; 009-908-658-304-279; 012-092-692-833-982; 020-389-752-972-51X; 022-416-187-624-857; 022-608-873-804-686; 023-219-311-017-880; 023-438-345-162-875; 023-892-606-208-318; 024-083-403-690-34X; 028-303-905-295-179; 030-365-625-357-983; 031-684-514-693-022; 038-031-146-405-248; 038-031-942-148-668; 041-468-374-827-127; 047-864-113-831-737; 048-303-380-897-139; 049-412-336-559-22X; 049-424-713-259-301; 052-721-654-905-666; 056-542-126-286-63X; 056-878-189-897-39X; 059-317-212-119-625; 060-609-776-792-583; 061-117-920-553-532; 062-299-623-881-069; 063-745-126-644-146; 064-576-402-841-536; 066-019-853-782-097; 068-194-404-753-11X; 070-615-124-659-190; 074-202-882-241-738; 078-594-002-370-330; 080-081-462-247-198; 081-093-753-869-434; 081-141-746-741-399; 085-686-689-031-272; 086-735-729-925-33X; 087-577-313-400-228; 091-323-362-463-537; 092-892-462-429-439; 103-507-952-678-319; 110-391-025-153-054; 111-066-322-041-523; 114-174-628-565-52X; 117-580-436-643-098; 117-584-635-247-408; 122-110-803-299-124; 123-042-865-565-39X; 124-516-884-600-46X; 127-838-921-512-161; 134-387-908-662-222; 135-997-527-888-118; 144-516-071-833-157; 150-444-153-276-208; 154-654-270-756-711; 154-664-177-679-925; 159-476-720-763-197; 170-263-200-028-358; 181-029-579-747-587; 188-959-785-048-061; 190-129-777-763-021,676,false,,
000-130-488-383-514,Guidance System for Visually Impaired People,2021-03-25,2021,conference proceedings article,2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),,IEEE,,Kanchan Patil; Avinash Kharat; Pratik Chaudhary; Shrikant Bidgar; Rushikesh Gavhane,"There are some visually impaired people throughout the world. Some of them may be around us. The visually impaired person finds difficulty while performing day-to-day life tasks. So this research work aims to develop a device which helps them as personal assistant. This paper represents the proposed device’s integrated modules and functionalities that can help a blind person. The proposed idea is to provide a wearable device with a Virtual assistant system for the visually impaired person, for some of the basic tasks without requiring the help of others. The system is aimed to provide voice-over assistants for blind people to do tasks like understanding surroundings, looking for an object, recognizing the face of a person with emotion, and reading etc. There is a total of five components merged into one system in this project. The navigation through these components is possible through hardware buttons and voice-over commands given by the user. There are many deep learning methodologies and core libraries of python language used for programming. The complete project is dedicated to being simple to use by visually impaired people and making day to day tasks easy for them.",,,988,993,Human–computer interaction; Deep learning; Wearable computer; Artificial intelligence; Task analysis; Guidance system; Visually impaired; Facial recognition system; Computer science; Reading (process); Object (computer science),,,,,https://ieeexplore.ieee.org/document/9395973,http://dx.doi.org/10.1109/icais50930.2021.9395973,,10.1109/icais50930.2021.9395973,3156103225,,0,003-438-603-684-41X; 004-269-574-716-057; 011-495-244-480-650; 018-759-071-730-519; 029-286-933-718-321; 033-226-351-329-326; 039-617-434-681-815; 046-976-822-348-780; 049-317-239-158-314; 052-497-442-344-365; 076-683-406-883-046; 078-075-482-445-906; 085-110-073-770-331; 085-838-847-713-173; 092-060-815-275-796; 103-418-273-855-681; 104-294-939-489-222; 122-845-792-192-360; 147-244-887-173-609; 196-023-913-683-572,12,false,,
000-198-878-209-061,An Real Time Object Detection Method for Visually Impaired Using Machine Learning,2023-01-23,2023,conference proceedings article,2023 International Conference on Computer Communication and Informatics (ICCCI),,IEEE,,Saravanan Alagarsamy; T. Dhiliphan Rajkumar; K. P. L. Syamala; Ch. Sandya Niharika; D. Usha Rani; K. Balaji,"Vision, one of the five fundamental human senses, is crucial for defining how people perceive the objects around them. Visual impairments affect more than 200 million people worldwide, severely limiting their ability to perform numerous activities of daily living. Thus, it is essential for blind people to understand their surroundings and the objects they are interacting with. In this work, we created a tool that helps blind persons recognize diverse items in their environment by utilizing the YOLO V3 algorithm combined with R-CNN. This comprises a variety of approaches to develop an app that not only instantly recognizes different objects in the visually impaired person’s environment but also guides them using audio output. A convolutional neural network (CNN) called YOLO (You Only Look at Once) recognizes objects in real time. This suggested method is more effective and accurate than other algorithms for recognizing things, according to research results, and it produces results for object detection that are extremely similar in real time. It is crucial for persons who are blind or visually impaired to be able to reliably and effectively detect and recognize objects in order to navigate both common and unfamiliar situations safely, become stronger, and become more independent.",,,,,Computer science; Convolutional neural network; Object (grammar); Artificial intelligence; Variety (cybernetics); Object detection; Limiting; Cognitive neuroscience of visual object recognition; Human–computer interaction; Computer vision; Visually impaired; Machine learning; Pattern recognition (psychology); Engineering; Mechanical engineering,,,,,,http://dx.doi.org/10.1109/iccci56745.2023.10128388,,10.1109/iccci56745.2023.10128388,,,0,002-259-580-134-449; 003-934-283-970-929; 007-316-191-175-159; 017-015-940-032-109; 019-709-337-567-917; 020-233-013-143-936; 033-276-344-273-171; 038-719-018-767-24X; 041-815-882-503-229; 049-317-239-158-314; 050-155-083-765-308; 064-747-692-971-18X; 066-133-135-091-645; 071-284-842-172-320; 080-827-163-858-579; 081-729-617-745-550; 095-295-018-241-847; 098-926-109-358-108; 098-956-213-255-632; 101-973-438-487-531; 111-100-797-063-482; 115-040-483-924-773; 120-165-937-956-56X; 143-813-392-282-928; 180-517-300-923-149; 198-316-108-089-53X,2,false,,
000-241-912-419-005,Development of indoor localization system using a mobile data acquisition platform and BoW image matching,2016-03-28,2016,journal article,KSCE Journal of Civil Engineering,12267988; 19763808,Springer Science and Business Media LLC,Germany,Nuri Lee; Changjae Kim; Won Seok Choi; Mu-Wook Pyeon; Yongil Kim,,21,1,418,430,Codebook; Bag-of-words model; Laser scanning; Artificial intelligence; Data acquisition; Image resolution; Systems design; Computer vision; Computer science; Histogram; Coordinate system,,,,,https://www.infona.pl/resource/bwmeta1.element.springer-doi-10_1007-S12205-016-1057-5 https://link.springer.com/article/10.1007/s12205-016-1057-5 https://link.springer.com/content/pdf/10.1007%2Fs12205-016-1057-5.pdf,http://dx.doi.org/10.1007/s12205-016-1057-5,,10.1007/s12205-016-1057-5,2323891005,,0,001-281-965-177-444; 002-345-873-500-677; 007-932-530-313-421; 008-875-693-823-045; 017-374-599-277-886; 026-726-113-728-919; 029-687-449-269-736; 029-825-397-097-284; 031-624-156-392-291; 032-699-171-109-40X; 033-759-346-540-161; 039-073-115-205-018; 040-760-388-110-874; 044-751-220-350-672; 047-647-472-033-525; 049-033-489-257-054; 055-805-113-680-238; 061-464-701-910-137; 075-831-396-135-399; 079-409-455-501-38X; 081-646-650-299-077; 085-242-767-142-895; 100-379-403-442-837; 102-786-306-974-437; 103-091-397-984-221; 104-694-342-259-021; 116-368-700-319-568; 122-855-605-453-430; 126-915-683-383-48X; 159-289-575-823-523; 174-260-789-699-77X; 189-165-673-838-837; 192-623-080-180-332,9,false,,
000-361-225-089-231,Intraoperative Ultrasonography-based Augmented Reality For Application In Image Guided Robotic Surgery,2018-05-15,2018,journal article,International journal of computer assisted radiology and surgery,18616429; 18616410,Springer Science and Business Media LLC,Germany,Jun Shen; Nabil Zemiti; Agnès Viquesnel; Oscar Caravaca Mora; Auguste Courtin; Renaud Garrel; Jean-Louis Dillenseger; Philippe Poignet,"Purpose Accurate Tumor delineation during the surgery is a big challenge for surgeons. For instance, in transoral robotic surgery (TORS) for tongue base tumor resection, the preoperative images cannot accurately reﬂect the tumor area in the tongue, because of the soft tissue deformation during the surgery. Furthermore, due to the camera’s small ﬁeld of view and the loss of cross-modality landmarks in the tongue base, it is difﬁcult to register the preoperative image to the intraoperative stereo camera with deformable registration. We propose an intraoperative ultrasonography (IOUS)-based augmented reality (AR) framework which is able to accurately delimit the tumor boundaries and provide them to the surgeon’s view. Instead of some works requiring manual registration [1], additional ﬁducial markers [2], or intraoperative imaging modalities using ionizing radiation [2, 3], our solution uses safe and cheap US imaging and does not need additional ﬁducial markers disturbing the TORS workﬂow.",13,Suppl 1,1,273,Robotic surgery; Radiology; Augmented reality; Stereo camera; Transoral robotic surgery; Tongue Base; Soft tissue deformation; Tumor resection; Intraoperative ultrasonography; Computer science; Transfer of learning; Artificial intelligence; Pattern recognition; Artery; Coronary arteries; Optical coherence tomography; Context (language use); Convolutional neural network; Context (archaeology); Medicine; Feature (linguistics); Medical physics; Paleontology; Linguistics; Philosophy; Biology,,"Congresses as Topic; Germany; Humans; Radiography/methods; Radiology/methods; Societies, Medical; Surgery, Computer-Assisted/methods",,,https://hal-lirmm.ccsd.cnrs.fr/lirmm-01828409/document https://hal-lirmm.ccsd.cnrs.fr/lirmm-01828409 https://hal.archives-ouvertes.fr/lirmm-01828409,http://dx.doi.org/10.1007/s11548-018-1766-y,29766372,10.1007/s11548-018-1766-y,2796926701; 2913568676,,0,001-549-038-461-246; 020-155-961-716-457; 028-696-653-010-949,16,true,,green
000-426-623-688-517,Fuzzy-Based Approach Using IoT Devices for Smart Home to Assist Blind People for Navigation.,2020-06-30,2020,journal article,"Sensors (Basel, Switzerland)",14248220; 14243210,Multidisciplinary Digital Publishing Institute (MDPI),Switzerland,Shahzadi Tayyaba; Muhammad Waseem Ashraf; Thamer Alquthami; Zubair Ahmad; Saher Manzoor,The demand of devices for safe mobility of blind people is increasing with advancement in wireless communication. Artificial intelligent devices with multiple input and output methods are used for reliable data estimation based on maximum probability. A model of a smart home for safe and robust mobility of blind people has been proposed. Fuzzy logic has been used for simulation. Outputs from the internet of things (IoT) devices comprising sensors and bluetooth are taken as input of the fuzzy controller. Rules have been developed based on the conditions and requirements of the blind person to generate decisions as output. These outputs are communicated through IoT devices to assist the blind person or user for safe movement. The proposed system provides the user with easy navigation and obstacle avoidance.,20,13,3674,,Controller (computing); Computer science; Home automation; Bluetooth; Wireless; Fuzzy logic; Obstacle avoidance; Real-time computing; Control theory; Internet of Things,IoT; bluetooth protocol; fuzzy approach; navigation; smart home; ultrasonic sensors,Artificial Intelligence; Computer Simulation; Environment Design; Fuzzy Logic; Housing; Humans; Internet of Things; Visually Impaired Persons,,,https://dblp.uni-trier.de/db/journals/sensors/sensors20.html#TayyabaAAAM20 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7374361 https://www.mdpi.com/1424-8220/20/13/3674 https://www.mdpi.com/1424-8220/20/13/3674/pdf,http://dx.doi.org/10.3390/s20133674,32630055,10.3390/s20133674,3040400337,PMC7374361,0,012-708-812-164-051; 015-218-998-128-071; 018-399-013-530-512; 038-803-377-768-502; 038-896-052-918-520; 040-350-896-436-334; 048-239-259-879-103; 051-364-525-033-110; 058-240-677-612-752; 058-743-550-973-731; 061-034-459-511-970; 065-240-986-885-782; 067-852-848-172-530; 068-526-647-480-345; 085-102-500-348-494; 090-531-437-646-769; 091-594-871-475-717; 131-958-550-811-015; 137-349-480-768-756; 146-098-863-580-729; 151-336-535-437-546; 169-043-458-750-663; 178-847-367-499-362; 199-107-465-311-130,26,true,cc-by,gold
001-028-934-996-982,Multiobjective Navigation of a Guide Mobile Robot for the Visually Impaired Based on Intention Inference of Obstacles,,2001,journal article,Autonomous Robots,09295593; 15737527,Springer Science and Business Media LLC,Netherlands,Dong-Oh Kang; Sung-Hun Kim; Heyoung Lee; Zeungnam Bien,,10,2,213,230,Motion control; Artificial intelligence; Mobile robot; Mobile robot navigation; Obstacle; Computer vision; Computer science; Fuzzy logic; Workspace; Obstacle avoidance; Robot,,,,,https://koasas.kaist.ac.kr/handle/10203/80861 https://link.springer.com/article/10.1023/A:1008990105090 https://link.springer.com/content/pdf/10.1023/A:1008990105090.pdf https://dialnet.unirioja.es/servlet/articulo?codigo=727280 https://doi.org/10.1023/A:1008990105090 https://dl.acm.org/doi/10.1023/A%3A1008990105090 https://dblp.uni-trier.de/db/journals/arobots/arobots10.html#KangKLB01,http://dx.doi.org/10.1023/a:1008990105090,,10.1023/a:1008990105090,1565286397,,0,008-900-169-370-213; 020-814-991-009-717; 024-369-065-483-244; 025-278-629-527-832; 031-644-240-584-067; 031-768-944-008-214; 036-439-762-038-337; 037-763-341-142-604; 041-004-643-077-614; 045-321-254-881-478; 062-964-875-502-093; 064-309-126-323-022; 065-992-777-809-97X; 067-765-095-815-312; 086-869-440-167-789; 089-375-525-289-979; 102-496-748-953-099; 109-521-309-138-814; 114-019-820-503-695; 117-088-374-924-454; 121-685-044-550-680; 126-418-616-873-369; 127-129-010-898-639; 137-681-539-641-19X; 144-551-134-931-031,14,false,,
001-082-598-947-731,Assistive Navigation System for Visually Impaired and Blind People: A Review,2021-09-24,2021,conference proceedings article,2021 International Conference on Artificial Intelligence and Machine Vision (AIMV),,IEEE,,Noopur Tyagi; Deepika Sharma; Jaiteg Singh; Bhisham Sharma; Sushil Narang,"The emergence of modern technologies in healthcare systems like the Internet of Things, Wireless Sensor Network, Machine Learning, etc. has ameliorated the cognitive abilities of humans. The increased accessibility of healthcare data and the exponential growth of advanced analytics can be attributed to the innovative amalgamation of these technologies. These technologies have adaptive and self-correcting capabilities to enhance accuracy depending on the information. Assistive technology enables independence and attainment of quality of life for blind and visually impaired people. With the support of guided navigation tools, assistive technologies aid the people with the facility to move across inside as well as the outside environment. The major concern of a visually challenged and blind person is to live a life with quality and safety. This study contributes information about distinctive wearable and portable assistive tools and devices which are designed to provide support to visually impaired people. Also, it was revealed that traditional navigation devices lacked a few features that are crucial for independent navigation. To overcome those navigation deficiencies, IoT technology is exploited to provide better solutions. Global Positioning System (GPS) tracker can assist to discover several opportunities in numerous areas such as location detection, mapping, healthcare, security, etc. Navigation gadgets embedded with sensors have a huge variety of programs and benefits. The major objective of this comprehensive study is to showcase a clearer perspective about the wearable or embedded devices used by visually impaired or blind persons.",,,,,Wearable computer; Computer science; Human–computer interaction; Global Positioning System; Wearable technology; Independent living; Variety (cybernetics); Multimedia; Artificial intelligence; Embedded system; Telecommunications; Gerontology; Medicine,,,,,,http://dx.doi.org/10.1109/aimv53313.2021.9670951,,10.1109/aimv53313.2021.9670951,,,0,009-829-120-033-790; 013-056-435-015-274; 014-764-979-190-592; 023-703-322-837-643; 025-764-110-104-300; 028-094-088-190-140; 037-376-150-587-539; 045-205-438-482-211; 049-592-217-207-783; 053-230-236-592-142; 056-745-340-837-164; 065-078-747-021-140; 066-479-281-229-604; 066-526-177-885-125; 068-526-647-480-345; 080-304-413-097-782; 085-102-500-348-494; 103-920-056-075-762; 115-168-206-177-741; 162-646-338-130-900,12,false,,
001-112-325-321-05X,Consideration of uncertainty in computer vision: Necessity and chance,2008-06-11,2008,journal article,Pattern Recognition and Image Analysis,10546618; 15556212,Pleiades Publishing Ltd,United States,J. Meidow,,18,2,216,221,Machine learning; Pattern recognition (psychology); Artificial intelligence; Context (language use); Cover (telecommunications); Computer vision; Optimal estimation; Computer science; Feature extraction; Interpretation (logic); Object (computer science),,,,,https://link.springer.com/article/10.1134%2FS1054661808020053,http://dx.doi.org/10.1134/s1054661808020053,,10.1134/s1054661808020053,2032319864,,0,002-239-769-795-12X; 007-515-516-555-398; 008-372-947-045-737; 008-509-173-206-668; 009-612-733-037-965; 018-055-777-278-389; 024-425-004-562-321; 025-218-336-182-063; 028-303-905-295-179; 033-379-698-785-061; 035-261-192-517-042; 040-218-035-484-010; 042-153-325-385-799; 055-676-274-953-454; 059-167-755-749-649; 062-177-723-012-068; 063-205-388-595-56X; 065-191-672-581-163; 074-006-536-890-200; 081-656-606-217-280; 084-679-921-430-947; 086-981-442-999-431; 096-130-399-446-15X; 099-612-858-681-003; 119-071-812-538-054; 121-565-008-467-672; 121-960-198-427-865; 132-871-498-857-108; 186-730-951-823-02X; 194-109-019-383-49X,0,false,,
