"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Kathiria P.; Mankad S.H.; Patel J.; Kapadia M.; Lakdawala N.","Kathiria, Preeti (57205348007); Mankad, Sapan H. (55340255600); Patel, Jitali (57202255048); Kapadia, Mayank (59279292100); Lakdawala, Neel (59280856200)","57205348007; 55340255600; 57202255048; 59279292100; 59280856200","Assistive systems for visually impaired people: A survey on current requirements and advancements","2024","Neurocomputing","606","","128284","","","","0","10.1016/j.neucom.2024.128284","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85201600226&doi=10.1016%2fj.neucom.2024.128284&partnerID=40&md5=f0bba414ceb13763b3383dce99039602","Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India","Kathiria P., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India; Mankad S.H., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India; Patel J., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India; Kapadia M., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India; Lakdawala N., Department of Computer Science and Engineering, Institute of Technology, Nirma University, Sarkhej-Gandhinagar Highway, Gujarat, Ahmedabad, 382481, India","In this survey, we provide a comprehensive study on the assistive technological devices which help visually impaired persons in their day-to-day lives. With various forms of disabilities such as visual, auditory, mobility, or cognitive impairment affecting a significant number of people worldwide, the aim of this study is to enable the blind persons to achieve independence. The primary objective of this work is to provide a concise description of assistive technologies for the visually impaired, along with an exploration of approaches for object detection, text detection, and text-to-speech synthesis. We present detailed discussion on these approaches using both traditional as well as deep learning based techniques. Finally, we conclude with some open opportunities where further research can be carried out. © 2024 Elsevier B.V.","Assistive; Object detection; Text detection; Text-to-speech synthesis; Visually impaired","Assistive; Assistive system; Objects detection; On currents; On-currents; Text detection; Text to speech; Visually impaired; Visually impaired people; Visually impaired persons; adult; assistive technology; blindness; clinical article; cognitive defect; deep learning; diagnosis; female; human; male; middle aged; self help device; short survey; text-to-speech; visually impaired person; Assistive technology","S.H. Mankad; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, Sarkhej-Gandhinagar Highway, Gujarat, 382481, India; email: sapanmankad@nirmauni.ac.in","","Elsevier B.V.","09252312","","NRCGE","","English","Neurocomputing","Short survey","Final","","Scopus","2-s2.0-85201600226"
"Zhang Y.; Li Z.; Guo H.; Wang L.; Chen Q.; Jiang W.; Fan M.; Zhou G.; Gong J.","Zhang, Yan (57953649600); Li, Ziang (57954810700); Guo, Haole (57852848700); Wang, Luyao (57208610611); Chen, Qihe (57954112800); Jiang, Wenjie (57953192600); Fan, Mingming (26424940800); Zhou, Guyue (55608815200); Gong, Jiangtao (56447667300)","57953649600; 57954810700; 57852848700; 57208610611; 57954112800; 57953192600; 26424940800; 55608815200; 56447667300","""I am the follower, also the boss"": Exploring Different Levels of Autonomy and Machine Forms of Guiding Robots for the Visually Impaired","2023","Conference on Human Factors in Computing Systems - Proceedings","","","542","","","","9","10.1145/3544548.3580884","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85160006419&doi=10.1145%2f3544548.3580884&partnerID=40&md5=03e87c8c1f637e7bae8f249a0986286f","Institute for Ai Industry Research, Tsinghua University, Beijing, China; The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China; The Hong Kong University of Science and Technology, Hong Kong","Zhang Y., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Li Z., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Guo H., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Wang L., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Chen Q., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Jiang W., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Fan M., The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China, The Hong Kong University of Science and Technology, Hong Kong; Zhou G., Institute for Ai Industry Research, Tsinghua University, Beijing, China; Gong J., Institute for Ai Industry Research, Tsinghua University, Beijing, China","Guiding robots, in the form of canes or cars, have recently been explored to assist blind and low vision (BLV) people. Such robots can provide full or partial autonomy when guiding. However, the pros and cons of different forms and autonomy for guiding robots remain unknown. We sought to fill this gap. We designed autonomy-switchable guiding robotic cane and car. We conducted a controlled lab-study (N=12) and a field study (N=9) on BLV. Results showed that full autonomy received better walking performance and subjective ratings in the controlled study, whereas participants used more partial autonomy in the natural environment as demanding more control. Besides, the car robot has demonstrated abilities to provide a higher sense of safety and navigation efficiency compared with the cane robot. Our findings offered empirical evidence about how the BLV community perceived different machine forms and autonomy, which can inform the design of assistive robots. © 2023 ACM.","control; guiding robot; level of autonomy; machine form; navigation; safety; trust; visual impairment","Control theory; Field studies; Guiding robot; Level of autonomies; Low vision; Machine form; Performance ratings; Switchable; Trust; Visual impairment; Visually impaired; Machine design","J. Gong; Institute for Ai Industry Research, Tsinghua University, Beijing, China; email: gongjiangtao2@gmail.com","","Association for Computing Machinery","","978-145039421-5","","","English","Conf Hum Fact Comput Syst Proc","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85160006419"
"Hebbar M.K.; Pullela P.K.","Hebbar, Maithili K (58918653700); Pullela, Phani Kumar (59227399800)","58918653700; 59227399800","Object Recognition System for the Visually Impaired: Leveraging IoT and Remote Server Integration","2023","2023 International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM 2023","","","","","","","1","10.1109/IC-RVITM60032.2023.10434991","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85186665020&doi=10.1109%2fIC-RVITM60032.2023.10434991&partnerID=40&md5=89cb4ed309cf52bcc2d830fd1fb91f7c","Rv University, School of Computer Science Engineering (SOCSE), RV Vidyanikethan Post 8th Mile, Mysuru Road, Bengaluru, 560059, India","Hebbar M.K., Rv University, School of Computer Science Engineering (SOCSE), RV Vidyanikethan Post 8th Mile, Mysuru Road, Bengaluru, 560059, India; Pullela P.K., Rv University, School of Computer Science Engineering (SOCSE), RV Vidyanikethan Post 8th Mile, Mysuru Road, Bengaluru, 560059, India","This paper offers a comprehensive examination of advancements in assistive technology tailored for individuals with visual impairments, with a specific focus on the role of the Internet of Things (IoT) in enhancing their quality of life. The research encompasses a thorough review of diverse articles and studies related to navigation solutions, wearable devices, and IoT-driven object recognition systems, emphasizing the significance of user-centric design and potential improvements in detection precision, navigation capabilities, device robustness, weight, and cost-effectiveness. Additionally, the paper explores the profound impact of intelligent environments and advanced technologies on the daily lives of visually impaired individuals, showcasing the potential of IoT, embedded systems, and machine learning in innovative solutions. Ultimately, it concludes by highlighting the crucial need for ongoing research and development to address the challenges faced by the visually impaired community. © 2023 IEEE.","Assistive Technology; Blind; Internet of Things (IoT); Sensor; Visual Impairment","Cost effectiveness; Embedded systems; Internet of things; Object recognition; Wearable technology; Assistive technology; Blind; Comprehensive examination; Internet of thing; Navigation solution; Object recognition systems; Quality of life; Remote servers; Visual impairment; Visually impaired; Assistive technology","M.K. Hebbar; Rv University, School of Computer Science Engineering (SOCSE), Bengaluru, RV Vidyanikethan Post 8th Mile, Mysuru Road, 560059, India; email: maithilikh.btech22@rvu.edu.in","","Institute of Electrical and Electronics Engineers Inc.","","979-835030608-8","","","English","Int. Conf. Conflu. Adv. Robot., Vis. Interdiscip. Technol. Manag., IC-RVITM","Conference paper","Final","","Scopus","2-s2.0-85186665020"
"Beheshti M.; Naeimi T.; Hudson T.E.; Feng C.; Mongkolwat P.; Riewpaiboon W.; Seiple W.; Vedanthan R.; Rizzo J.-R.","Beheshti, Mahya (57208333398); Naeimi, Tahereh (57219892981); Hudson, Todd E. (7203069715); Feng, Chen (51461205400); Mongkolwat, Pattanasak (6602619011); Riewpaiboon, Wachara (8642392600); Seiple, William (7005218017); Vedanthan, Rajesh (24823609000); Rizzo, John-Ross (56527876700)","57208333398; 57219892981; 7203069715; 51461205400; 6602619011; 8642392600; 7005218017; 24823609000; 56527876700","A Smart Service System for Spatial Intelligence and Onboard Navigation for Individuals with Visual Impairment (VIS4ION Thailand): study protocol of a randomized controlled trial of visually impaired students at the Ratchasuda College, Thailand","2023","Trials","24","1","169","","","","2","10.1186/s13063-023-07173-8","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85149999175&doi=10.1186%2fs13063-023-07173-8&partnerID=40&md5=dad225d95f8a5be0bc14b077c156986c","Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, United States; Department of Mechanical and Aerospace Engineering, NYU Tandon School of Engineering, New York, NY, United States; Department of Neurology, NYU Langone Health, New York, NY, United States; Department of Biomedical Engineering, NYU Tandon School of Engineering, New York, NY, United States; Department of Information and Communication Technology, Mahidol University, Salaya, Thailand; Ratchasuda College, Mahidol University, Salaya, Thailand; Lighthouse Guild, New York, NY, United States; Department of Ophthalmology, NYU Langone Health, New York, NY, United States; Department of Population Health, NYU Langone Health, New York, NY, United States; Department of Medicine, NYU Langone Health, New York, NY, United States","Beheshti M., Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, United States, Department of Mechanical and Aerospace Engineering, NYU Tandon School of Engineering, New York, NY, United States; Naeimi T., Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, United States; Hudson T.E., Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, United States, Department of Neurology, NYU Langone Health, New York, NY, United States, Department of Biomedical Engineering, NYU Tandon School of Engineering, New York, NY, United States; Feng C., Department of Mechanical and Aerospace Engineering, NYU Tandon School of Engineering, New York, NY, United States; Mongkolwat P., Department of Information and Communication Technology, Mahidol University, Salaya, Thailand; Riewpaiboon W., Ratchasuda College, Mahidol University, Salaya, Thailand; Seiple W., Lighthouse Guild, New York, NY, United States, Department of Ophthalmology, NYU Langone Health, New York, NY, United States; Vedanthan R., Department of Population Health, NYU Langone Health, New York, NY, United States, Department of Medicine, NYU Langone Health, New York, NY, United States; Rizzo J.-R., Department of Rehabilitation Medicine, NYU Langone Health, New York, NY, United States, Department of Mechanical and Aerospace Engineering, NYU Tandon School of Engineering, New York, NY, United States, Department of Neurology, NYU Langone Health, New York, NY, United States, Department of Biomedical Engineering, NYU Tandon School of Engineering, New York, NY, United States","Background: Blind/low vision (BLV) severely limits information about our three-dimensional world, leading to poor spatial cognition and impaired navigation. BLV engenders mobility losses, debility, illness, and premature mortality. These mobility losses have been associated with unemployment and severe compromises in quality of life. VI not only eviscerates mobility and safety but also, creates barriers to inclusive higher education. Although true in almost every high-income country, these startling facts are even more severe in low- and middle-income countries, such as Thailand. We aim to use VIS4ION (Visually Impaired Smart Service System for Spatial Intelligence and Onboard Navigation), an advanced wearable technology, to enable real-time access to microservices, providing a potential solution to close this gap and deliver consistent and reliable access to critical spatial information needed for mobility and orientation during navigation. Methods: We are leveraging 3D reconstruction and semantic segmentation techniques to create a digital twin of the campus that houses Mahidol University’s disability college. We will do cross-over randomization, and two groups of randomized VI students will deploy this augmented platform in two phases: a passive phase, during which the wearable will only record location, and an active phase, in which end users receive orientation cueing during location recording. A group will perform the active phase first, then the passive, and the other group will experiment reciprocally. We will assess for acceptability, appropriateness, and feasibility, focusing on experiences with VIS4ION. In addition, we will test another cohort of students for navigational, health, and well-being improvements, comparing weeks 1 to 4. We will also conduct a process evaluation according to the Saunders Framework. Finally, we will extend our computer vision and digital twinning technique to a 12-block spatial grid in Bangkok, providing aid in a more complex environment. Discussion: Although electronic navigation aids seem like an attractive solution, there are several barriers to their use; chief among them is their dependence on either environmental (sensor-based) infrastructure or WiFi/cell “connectivity” infrastructure or both. These barriers limit their widespread adoption, particularly in low-and-middle-income countries. Here we propose a navigation solution that operates independently of both environmental and Wi-Fi/cell infrastructure. We predict the proposed platform supports spatial cognition in BLV populations, augmenting personal freedom and agency, and promoting health and well-being. Trial registration: ClinicalTrials.gov under the identifier: NCT03174314, Registered 2017.06.02. © 2023, The Author(s).","Accessibility; Adaptive mobility device; Assistive technology; Blind/low vision; Low- and/or middle-income countries; Navigation; Visual impairment","Humans; Intelligence; Quality of Life; Randomized Controlled Trials as Topic; Thailand; Universities; Vision, Low; adult; Article; clinical article; clinical feature; college student; controlled study; disease severity; female; human; low income country; male; middle income country; patient monitoring; randomized controlled trial; risk factor; Thailand; visual impairment; intelligence; low vision; quality of life; randomized controlled trial (topic); university","J.-R. Rizzo; Department of Rehabilitation Medicine, NYU Langone Health, New York, United States; email: johnrossrizzo@gmail.com","","BioMed Central Ltd","17456215","","","36879333","English","Trials","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149999175"
"Ranganeni V.; Sinclair M.; Ofek E.; Miller A.; Campbell J.; Kolobov A.; Cutrell E.","Ranganeni, Vinitha (57195421508); Sinclair, Mike (7202410378); Ofek, Eyal (10139546600); Miller, Amos (57221318994); Campbell, Jonathan (57193548707); Kolobov, Andrey (57194409260); Cutrell, Edward (57203053744)","57195421508; 7202410378; 10139546600; 57221318994; 57193548707; 57194409260; 57203053744","Exploring levels of control for a navigation assistant for blind travelers","2023","ACM/IEEE International Conference on Human-Robot Interaction","","","","4","12","8","7","10.1145/3568162.3578630","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85150391784&doi=10.1145%2f3568162.3578630&partnerID=40&md5=56bc863c5b98ddb8d87b0b14fb04a685","University of Washington, Seattle, WA, United States; Microsoft Research, Redmond, WA, United States; Independent Researcher, Seattle, WA, United States","Ranganeni V., University of Washington, Seattle, WA, United States; Sinclair M., Microsoft Research, Redmond, WA, United States; Ofek E., Microsoft Research, Redmond, WA, United States; Miller A., Independent Researcher, Seattle, WA, United States; Campbell J., Microsoft Research, Redmond, WA, United States; Kolobov A., Microsoft Research, Redmond, WA, United States; Cutrell E., Microsoft Research, Redmond, WA, United States","Only a small percentage of blind and low-vision people use traditional mobility aids such as a cane or a guide dog. Various assistive technologies have been proposed to address the limitations of traditional mobility aids. These devices often give either the user or the device majority of the control. In this work, we explore how varying levels of control affect the users' sense of agency, trust in the device, confidence, and successful navigation.We present Glide, a novel mobility aid with two modes for control: Glide-directed and User-directed. We employ Glide in a study (N=9) in which blind or low-vision participants used both modes to navigate through an indoor environment. Overall, participants found that Glide was easy to use and learn. Most participants trusted Glide despite its current limitations, and their confidence and performance increased as they continued to use Glide. Users' control mode preferences varied in different situations; no single mode ""won""in all situations.  © 2023 Copyright held by the owner/author(s).","assistive navigation; robotics; user study","Assistive technology; Robots; Assistive navigations; Assistive technology; Current limitation; Guide dogs; Indoor environment; Learn+; Low vision; Mobility aids; Sense of agencies; User study; Navigation","","","IEEE Computer Society","21672148","978-145039964-7","","","English","ACM/IEEE Int. Conf. Hum.-Rob. Interact.","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85150391784"
"Ferdous J.; Lee H.-N.; Jayarathna S.; Ashok V.","Ferdous, Javedul (57223136514); Lee, Hae-Na (57218554453); Jayarathna, Sampath (36052654200); Ashok, Vikas (55633359800)","57223136514; 57218554453; 36052654200; 55633359800","Enabling Efficient Web Data-record Interaction for People with Visual Impairments via Proxy Interfaces","2023","ACM Transactions on Interactive Intelligent Systems","13","3","13","","","","3","10.1145/3579364","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85163766240&doi=10.1145%2f3579364&partnerID=40&md5=9f14a78cf9fe2b9084cb71c07456020b","Old Dominion University, Norfolk, 23529, VA, United States; Stony Brook University, Stony Brook, 11794, NY, United States","Ferdous J., Old Dominion University, Norfolk, 23529, VA, United States; Lee H.-N., Stony Brook University, Stony Brook, 11794, NY, United States; Jayarathna S., Old Dominion University, Norfolk, 23529, VA, United States; Ashok V., Old Dominion University, Norfolk, 23529, VA, United States","Web data records are usually accompanied by auxiliary webpage segments, such as filters, sort options, search form, and multi-page links, to enhance interaction efficiency and convenience for end users. However, blind and visually impaired (BVI) persons are presently unable to fully exploit the auxiliary segments like their sighted peers, since these segments are scattered all across the screen, and as such assistive technologies used by BVI users, i.e., screen reader and screen magnifier, are not geared for efficient interaction with such scattered content. Specifically, for blind screen reader users, content navigation is predominantly one-dimensional despite the support for skipping content, and therefore navigating to-and-fro between different parts of the webpage is tedious and frustrating. Similarly, low vision screen magnifier users have to continuously pan back-and-forth between different portions of a webpage, given that only a portion of the screen is viewable at any instant due to content enlargement. The extant techniques to overcome inefficient web interaction for BVI users have mostly focused on general web-browsing activities, and as such they provide little to no support for data record-specific interaction activities such as filtering and sorting—activities that are equally important for facilitating quick and easy access to desired data records. To fill this void, we present InSupport, a browser extension that: (i) employs custom machine learning-based algorithms to automatically extract auxiliary segments on any webpage containing data records; and (ii) provides an instantly accessible proxy one-stop interface for easily navigating the extracted auxiliary segments using either basic keyboard shortcuts or mouse actions. Evaluation studies with 14 blind participants and 16 low vision participants showed significant improvement in web usability with InSupport, driven by an increased reduction in interaction time and user effort, compared to the state-of-the-art solutions. © 2023 Association for Computing Machinery. All rights reserved.","Additional Key Words and Phrases: Web accessibility; blind; data records; low vision; screen magnifier; screen reader; visual impairment","Machine learning; Mammals; Additional key word and phrase: web accessibility; Blind; Data record; Key words; Key-phrase; Low vision; Screen magnifier; Screen readers; Visual impairment; Web accessibility; Websites","","","Association for Computing Machinery","21606455","","","","English","ACM Trans. Interact. Intelligent Syst.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85163766240"
"Cai S.; Ram A.; Gou Z.; Shaikh M.A.W.; Chen Y.-A.; Wan Y.; Hara K.; Zhao S.; Hsu D.","Cai, Shaojun (56742658100); Ram, Ashwin (57203205706); Gou, Zhengtai (58237048300); Shaikh, Mohd Alqama Wasim (59151968800); Chen, Yu-An (59151315100); Wan, Yingjia (57203788955); Hara, Kotaro (55498092800); Zhao, Shengdong (8433003800); Hsu, David (34569904000)","56742658100; 57203205706; 58237048300; 59151968800; 59151315100; 57203788955; 55498092800; 8433003800; 34569904000","Navigating Real-World Challenges: A Qadruped Robot Guiding System for Visually Impaired People in Diverse Environments","2024","Conference on Human Factors in Computing Systems - Proceedings","","","44","","","","0","10.1145/3613904.3642227","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85194497102&doi=10.1145%2f3613904.3642227&partnerID=40&md5=509a205bd4916ef4e64db49d29107708","Department of Computer Science, National University, Singapore; NUS-HCI Lab, Department of Computer Science, National University of Singapore, Singapore; Xinya College, Tsinghua University, China; Department of Mechanical Engineering, Veermata Jijabai Technological Institute, India; Yale-NUS College, Singapore; Institute of Psychology, Chinese Academy of Sciences, China; School of Computing and Information Systems, Singapore Management University, Singapore; NUS-HCI Lab, National University of Singapore, Singapore; Department of Computer Science, National University of Singapore, Singapore","Cai S., Department of Computer Science, National University, Singapore; Ram A., NUS-HCI Lab, Department of Computer Science, National University of Singapore, Singapore; Gou Z., Xinya College, Tsinghua University, China; Shaikh M.A.W., Department of Mechanical Engineering, Veermata Jijabai Technological Institute, India; Chen Y.-A., Yale-NUS College, Singapore; Wan Y., Institute of Psychology, Chinese Academy of Sciences, China; Hara K., School of Computing and Information Systems, Singapore Management University, Singapore; Zhao S., NUS-HCI Lab, National University of Singapore, Singapore; Hsu D., Department of Computer Science, National University of Singapore, Singapore","Blind and Visually Impaired (BVI) people find challenges in navigating unfamiliar environments, even using assistive tools such as white canes or smart devices. Increasingly affordable quadruped robots offer us opportunities to design autonomous guides that could improve how BVI people find ways around unfamiliar environments and maneuver therein. In this work, we designed RDog, a quadruped robot guiding system that supports BVI individuals' navigation and obstacle avoidance in indoor and outdoor environments. RDog combines an advanced mapping and navigation system to guide users with force feedback and preemptive voice feedback. Using this robot as an evaluation apparatus, we conducted experiments to investigate the difference in BVI people's ambulatory behaviors using a white cane, a smart cane, and RDog. Results illustrated the benefits of RDog-based ambulation, including faster and smoother navigation with fewer collisions and limitations, and reduced cognitive load. We discuss the implications of our work for multi-terrain assistive guidance systems. © 2024 Copyright held by the owner/author(s)","assistive technology; navigation; orientation and mobility; robot guide dog; visual impairment","Assistive technology; Feedback; Multipurpose robots; Navigation systems; Assistive technology; Blind and visually impaired; Guide dogs; Guiding systems; Orientation and mobility; Robot guide dog; Robot guides; Robot guiding; Visual impairment; Visually impaired people; Machine design","S. Zhao; NUS-HCI Lab, National University of Singapore, Singapore; email: shengdong.zhao@cityu.edu.hk; D. Hsu; Department of Computer Science, National University of Singapore, Singapore; email: dyhsu@comp.nus.edu.sg","","Association for Computing Machinery","","979-840070330-0","","","English","Conf Hum Fact Comput Syst Proc","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85194497102"
"Bamdad M.; Scaramuzza D.; Darvishy A.","Bamdad, Marziyeh (58030736000); Scaramuzza, Davide (16550950000); Darvishy, Alireza (24723823200)","58030736000; 16550950000; 24723823200","SLAM for Visually Impaired People: A Survey","2024","IEEE Access","","","","","","","0","10.1109/ACCESS.2024.3454571","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85203518725&doi=10.1109%2fACCESS.2024.3454571&partnerID=40&md5=562d71bf5fc5c3e3508ddaddc26d5367","University of Zurich, Department of Informatics, Zurich, 8050, Switzerland; Zurich University of Applied Sciences, Institute of Applied Information Technology, Winterthur, 88400, Switzerland","Bamdad M., University of Zurich, Department of Informatics, Zurich, 8050, Switzerland, Zurich University of Applied Sciences, Institute of Applied Information Technology, Winterthur, 88400, Switzerland; Scaramuzza D., University of Zurich, Department of Informatics, Zurich, 8050, Switzerland; Darvishy A., Zurich University of Applied Sciences, Institute of Applied Information Technology, Winterthur, 88400, Switzerland","In recent decades, several assistive technologies have been developed to improve the ability of blind and visually impaired (BVI) individuals to navigate independently and safely. At the same time, simultaneous localization and mapping (SLAM) techniques have become sufficiently robust and efficient to be adopted in developing these assistive technologies. We present the first systematic literature review of 54 recent studies on SLAM-based solutions for blind and visually impaired people, focusing on literature published from 2017 onward. This review explores various localization and mapping techniques employed in this context. We systematically identified and categorized diverse SLAM approaches and analyzed their localization and mapping techniques, sensor types, computing resources, and machine-learning methods. We discuss the advantages and limitations of these techniques for blind and visually impaired navigation. Moreover, we examine the major challenges described across studies, including practical challenges and considerations that affect usability and adoption. Our analysis also evaluates the effectiveness of these SLAM-based solutions in real-world scenarios and user satisfaction, providing insights into their practical impact on BVI mobility. The insights derived from this review identify critical gaps and opportunities for future research activities, particularly in addressing the challenges presented by dynamic and complex environments. We explain how SLAM technology offers the potential to improve the ability of visually impaired individuals to navigate effectively. Finally, we present future opportunities and challenges in this domain.  © 2013 IEEE.","Navigation; SLAM; systematic literature review; visually impaired","","M. Bamdad; University of Zurich, Department of Informatics, Zurich, 8050, Switzerland; email: bamdad@ifi.uzh.ch","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Article in press","All Open Access; Gold Open Access","Scopus","2-s2.0-85203518725"
"Yi D.","Yi, Ding (59259524600)","59259524600","Embedded Computer Vision for Obstacle Detection and Recognition in Intelligent Assistance System for Visually Impaired Individual","2024","2024 IEEE 4th International Conference on Electronic Communications, Internet of Things and Big Data, ICEIB 2024","","","","201","204","3","0","10.1109/ICEIB61477.2024.10602660","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85201233911&doi=10.1109%2fICEIB61477.2024.10602660&partnerID=40&md5=4315731c6c60a3e716ab83d539483aca","Qingdao Engineering Vocational College, Qingdao, China","Yi D., Qingdao Engineering Vocational College, Qingdao, China","A detection system for obstacles was developed using embedded computer vision techniques for mobile capability and protection for the blind. System implementation, performance monitoring, and model assessments were conducted to develop the system. The proposed system recognizes obstacles and is the most effective in the detection of vehicles. Despite the successful accomplishment, more research is needed to take advantage of new technologies and to fine-tune and perfect the system in terms of accuracy, robustness, usage, pertinence, and effectiveness.  © 2024 IEEE.","assistive technology; embedded computer vision; mobility; obstacle detection; visually impaired","Assistive technology; Computer vision; Assistance system; Assistive technology; Computer vision techniques; Detection system; Embedded computer vision; Intelligent assistances; Mobility; Obstacle recognition; Obstacles detection; Visually impaired; Obstacle detectors","D. Yi; Qingdao Engineering Vocational College, Qingdao, China; email: tinyii_QD@163.com","Meen T.-H.","Institute of Electrical and Electronics Engineers Inc.","","979-835036072-1","","","English","IEEE Int. Conf. Electron. Commun., Internet Things Big Data, ICEIB","Conference paper","Final","","Scopus","2-s2.0-85201233911"
"Bhaskar Nikhil S.; Sharma A.; Nair N.S.; Sai Srikar C.; Wutla Y.; Rahul B.; Jhavar S.; Tambe P.","Bhaskar Nikhil, S. (58745137100); Sharma, Ambuj (57210974634); Nair, Niranjan S. (58153404200); Sai Srikar, C. (58744925400); Wutla, Yatish (58744716900); Rahul, Bhavanasi (58745967400); Jhavar, Suyog (55873065800); Tambe, Pankaj (26023828800)","58745137100; 57210974634; 58153404200; 58744925400; 58744716900; 58745967400; 55873065800; 26023828800","Design and Evaluation of a Multi-Sensor Assistive Robot for the Visually Impaired","2024","Lecture Notes in Mechanical Engineering","","","","119","131","12","0","10.1007/978-981-99-5613-5_10","https://scopus.proxyuao.elogim.com/inward/record.uri?eid=2-s2.0-85178591446&doi=10.1007%2f978-981-99-5613-5_10&partnerID=40&md5=dc5f94487c2c63abac9761d39fff24bc","VIT-AP University, A.P, Amaravati, India","Bhaskar Nikhil S., VIT-AP University, A.P, Amaravati, India; Sharma A., VIT-AP University, A.P, Amaravati, India; Nair N.S., VIT-AP University, A.P, Amaravati, India; Sai Srikar C., VIT-AP University, A.P, Amaravati, India; Wutla Y., VIT-AP University, A.P, Amaravati, India; Rahul B., VIT-AP University, A.P, Amaravati, India; Jhavar S., VIT-AP University, A.P, Amaravati, India; Tambe P., VIT-AP University, A.P, Amaravati, India","Visual impairment affects approximately 285 million people worldwide, the profound challenge faced by those who are visually impaired or blind lies in the intricate task of maneuvering through different surroundings. The intricate nature of navigating both indoor and outdoor spaces poses significant difficulties for people with visual impairments. This paper presents an innovative undertaking that strives to address this very challenge by developing a cutting-edge robot dedicated to guiding the blind securely through various environments. Employing a sophisticated amalgamation of diverse sensors and a high-resolution camera, the robot adeptly identifies obstacles and furnishes the user with real-time information pertaining to their immediate surroundings. Remarkably, this state-of-the-art robot can be seamlessly operated through voice commands, facilitated by a bespoke mobile application, thereby enabling users to effortlessly guide it to their desired destinations. Equipped with comprehensive audio feedback capabilities, the robot effectively communicates crucial details to the user, encompassing obstacles, directions, and more. This robot can help blind people to navigate unfamiliar environments and travel independently. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Assistive robot; Multi-sensor; Obstacles avoidance; Visually impaired; Voice command","Machine design; Assistive robots; Cutting edges; Design and evaluations; Indoor space; Multi sensor; Obstacles avoidance; Outdoor space; Visual impairment; Visually impaired; Voice command; Robots","A. Sharma; VIT-AP University, Amaravati, A.P, India; email: ambujsharma08@gmail.com","Tambe P.; Jhavar S.; Huang P.","Springer Science and Business Media Deutschland GmbH","21954356","978-981995612-8","","","English","Lect. Notes Mech. Eng.","Conference paper","Final","","Scopus","2-s2.0-85178591446"
